Topic,Count,Name,CustomName,CustomLabel
-1,21,-1_detection_task_key_framework,"detection, task, key, framework, online","detection, task, key, framework, online"
0,62,0_training_tasks_domain_accuracy,"training, tasks, domain, accuracy, context","training, tasks, domain, accuracy, context"
1,28,1_online_training_topics_time,"online, training, topics, time, artificial intelligence","online, training, topics, time, artificial intelligence"
2,24,2_reproducibility_framework_domain_level,"reproducibility, framework, domain, level, recent years","reproducibility, framework, domain, level, recent years"
3,21,3_graph_network_state_best,"graph, network, state, best, design","graph, network, state, best, design"
4,16,4_domains_community_artificial intelligence_impact,"domains, community, artificial intelligence, impact, framework","domains, community, artificial intelligence, impact, framework"
5,16,5_relationships_performance_extraction_state art,"relationships, performance, extraction, state art, graph","relationships, performance, extraction, state art, graph"
6,15,6_access_topics_search_artificial intelligence,"access, topics, search, artificial intelligence, evidence","access, topics, search, artificial intelligence, evidence"
7,11,7_publications_framework_access_extraction,"publications, framework, access, extraction, real world","publications, framework, access, extraction, real world"
8,11,8_impact_corpus_training_introduces,"impact, corpus, training, introduces, accuracy","impact, corpus, training, introduces, accuracy"
9,11,9_search_reproducibility_topics_real world,"search, reproducibility, topics, real world, score","search, reproducibility, topics, real world, score"
